id,color
13247,5.7
13249,6.4
13251,7.6
13253,7.9
13255,6.8
13257,5.9
13259,6.6
13261,7.7
13263,6.7
13265,6.5
13267,5.4
13269,7.2
13271,8.6
13273,6.6
13275,6.4
13277,5.5
13279,7.8
13281,6.7
13283,7.8
13285,5.1
13287,6.6
13289,8.7
13291,4.7
13293,6.5
13295,5.6
13297,4.9
13299,5.5
13301,7.0
13303,6.4
13305,6.7
13307,8.8
13309,9.1
13311,4.6
13313,5.9
13315,7.0
13317,6.3
13319,6.3
13321,5.9
15001,3.8
15003,2.8
15007,3.3
15009,3.2
16001,3.3
16003,7.1
16005,3.5
16007,4.6
16009,6.2
16011,3.6
16013,3.2
16015,5.5
16017,5.5
16019,3.2
16021,5.3
16023,4.1
16025,3.8
16027,4.4
16029,3.7
16031,3.0
16033,3.5
16035,7.5
16037,5.2
16039,4.2
16041,3.1
16043,3.4
16045,4.7
16047,3.1
16049,5.7
16051,3.1
16053,3.1
16055,4.8
16057,3.3
16059,6.3
16061,6.5
16063,4.5
16065,2.5
16067,3.3
16069,3.4
16071,3.7
16073,4.5
16075,4.7
16077,4.2
16079,7.3
16081,3.2
16083,3.4
16085,5.6
16087,5.7
17001,4.8
17003,9.2
17005,5.1
17007,6.3
17009,3.4
17011,6.1
17013,6.3
17015,5.7
17017,5.6
17019,5.1
17021,6.3
17023,5.9
17025,6.8
17027,4.5
17029,5.9
17031,6.2
17033,6.2
17035,5.2
17037,5.4
17039,5.7
17041,4.7
17043,4.8
17045,6.0
17047,5.8
17049,4.7
17051,6.7
17053,5.5
17055,8.1
17057,7.4
17059,7.6
17061,5.9
17063,6.8
17065,6.3
17067,6.6
17069,9.8
17071,6.2
17073,6.1
17075,5.5
17077,5.4
17079,6.3
17081,6.5
17083,5.8
17085,5.4
17087,8.6
17089,5.5
17091,6.4
17093,5.2
17095,6.1
17097,5.2
17099,6.7
17101,7.5
17103,5.1
17105,5.5
17107,5.3
17109,6.3
17111,5.3
17113,5.1
17115,6.6
17117,6.0
17119,5.9
17121,6.4
17123,6.6
17125,7.1
17127,7.0
17129,4.6
17131,6.2
17133,4.1
17135,7.1
17137,4.9
17139,4.6
17141,5.9
17143,6.8
17145,7.1
17147,5.0
17149,5.1
17151,7.0
17153,8.8
17155,5.6
17157,5.0
17159,6.0
17161,6.3
17163,6.1
17165,8.6
17167,4.9
17169,5.8
17171,5.6
17173,5.8
17175,7.2
17177,5.8
17179,6.3
17181,7.4
17183,7.2
17185,6.4
17187,5.3
17189,3.8
17191,8.6
17193,6.6
17195,5.8
17197,6.1
17199,6.2
17201,6.6
17203,5.4
18001,3.6
18003,4.3
18005,3.4
18007,4.2
18009,5.4
18011,3.4
18013,4.0
18015,4.2
18017,4.7
18019,4.1
18021,4.7
18023,3.9
18025,5.6
18027,3.6
18029,4.7
18031,3.6
18033,3.9
18035,5.2
18037,3.1
18039,3.5
18041,5.8
18043,4.1
18045,5.8
18047,4.3
18049,4.7
18051,3.7
18053,5.0
18055,6.6
18057,3.2
18059,3.8
18061,4.2
18063,3.5
18065,4.6
18067,4.7
18069,4.1
18071,3.7
18073,5.3
18075,4.6
18077,4.7
18079,4.8
18081,3.6
18083,4.4
18085,3.7
18087,3.4
18089,6.3
18091,5.9
18093,5.7
18095,5.0
18097,4.4
18099,3.8
18101,4.2
18103,4.7
18105,4.6
18107,3.9
18109,4.2
18111,5.6
18113,4.1
18115,4.9
18117,5.1
18119,5.5
18121,5.3
18123,4.6
18125,4.4
18127,5.1
18129,4.0
18131,4.6
18133,4.5
18135,4.5
18137,4.6
18139,3.8
18141,4.5
18143,4.8
18145,4.0
18147,4.1
18149,5.4
18151,3.7
18153,5.9
18155,4.9
18157,4.0
18159,3.9
18161,4.0
18163,4.1
18165,6.6
18167,5.4
18169,4.3
18171,4.9
18173,4.1
18175,4.5
18177,4.8
18179,3.6
18181,4.0
18183,3.9
19001,3.0
19003,2.7
19005,5.0
19007,4.8
19009,3.3
19011,3.6
19013,4.7
19015,2.8
19017,3.7
19019,4.2
19021,3.6
19023,4.4
19025,3.9
19027,2.6
19029,3.3
19031,3.4
19033,3.7
19035,3.7
19037,4.5
19039,3.4
19041,3.9
19043,4.3
19045,5.0
19047,5.6
19049,2.7
19051,4.3
19053,3.3
19055,3.5
19057,5.0
19059,4.4
19061,3.6
19063,4.3
19065,4.5
19067,3.7
19069,3.5
19071,3.3
19073,3.2
19075,3.5
19077,3.6
19079,3.8
19081,2.7
19083,4.0
19085,3.4
19087,3.6
19089,3.7
19091,2.9
19093,2.6
19095,3.1
19097,4.2
19099,3.6
19101,3.7
19103,2.6
19105,4.3
19107,4.4
19109,2.7
19111,6.2
19113,3.7
19115,4.0
19117,3.2
19119,2.1
19121,3.6
19123,3.8
19125,3.1
19127,4.9
19129,3.7
19131,2.7
19133,4.2
19135,4.7
19137,3.6
19139,3.9
19141,2.8
19143,2.7
19145,5.1
19147,3.2
19149,2.6
19151,2.9
19153,3.5
19155,3.4
19157,3.5
19159,3.5
19161,3.1
19163,4.6
19165,3.0
19167,2.3
19169,2.4
19171,4.2
19173,3.0
19175,3.8
19177,3.7
19179,5.9
19181,3.2
19183,3.0
19185,3.9
19187,4.0
19189,3.5
19191,3.6
19193,3.6
19195,3.5
19197,4.2
20001,5.9
20003,4.5
20005,6.4
20007,4.1
20009,4.7
20011,5.1
20013,3.9
20015,4.3
20017,3.7
20019,5.5
20021,4.6
20023,2.9
20025,2.9
20027,4.5
20029,4.5
20031,6.3
20033,3.4
20035,4.6
20037,5.0
20039,4.2
20041,4.6
20043,4.1
20045,3.6
20047,3.1
20049,5.3
20051,3.2
20053,4.2
20055,3.2
20057,3.3
20059,4.3
20061,5.8
20063,2.6
20065,5.0
20067,3.8
20069,2.3
20071,2.3
20073,5.2
20075,2.7
20077,3.9
20079,4.4
20081,2.7
